baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
28.4902962163089,5.38098441458988,0.813828891765106,6.61193583692895,3.79326421529737e-11,2.68364411650824e-08,ZSWIM7_ENSG00000214941,ZSWIM7
32.4778870327179,4.52434325050207,0.685321766269606,6.60177959198539,4.06251206293981e-11,2.74348825995894e-08,METTL2A_ENSG00000087995,METTL2A
68.3539741452334,-4.57683768353235,0.695818366996273,-6.57763275679221,4.77997026937116e-11,2.95900076216864e-08,THAP3_ENSG00000041988,THAP3
109.292754604607,4.08500631608077,0.620938061689124,6.57876617350274,4.74368072958014e-11,2.95900076216864e-08,CDC16_ENSG00000130177,CDC16
24.3490336072739,17.0107010692241,2.59403396706384,6.5576246437815,5.4671609613099e-11,3.24902441608725e-08,SNURF_ENSG00000273173,SNURF
33.1185992839601,3.89038672031563,0.593810239964863,6.55156556502938,5.6936979269127e-11,3.253510388467e-08,PAAF1_ENSG00000175575,PAAF1
1568.59052171237,3.40533557922635,0.523604109426337,6.50364563211173,7.83964526229749e-11,4.31383739488718e-08,FYN_ENSG00000010810,FYN
65.6225262381785,7.83842957406004,1.2210597328884,6.41936619719524,1.36842871415724e-10,7.26098050222644e-08,ZNF573_ENSG00000189144,ZNF573
2.02371669889712,18.7396125828906,2.93023883147235,6.39525092003322,1.60283924130928e-10,8.21151124418346e-08,GCOM1_ENSG00000137878,GCOM1
153.529175845419,5.09508279123753,0.802227310550671,6.35117095146029,2.13682080205727e-10,1.05822488853883e-07,NAE1_ENSG00000159593,NAE1
67.9628502487334,4.431027046049,0.721645485352628,6.14017150524236,8.24324327415073e-10,3.95064081690508e-07,NUP54_ENSG00000138750,NUP54
94.8858019944146,3.95367306422992,0.647794136849666,6.10328627464477,1.03909485442491e-09,4.7191429087158e-07,DERL2_ENSG00000072849,DERL2
228.78105941167,4.88554722564595,0.801287764009687,6.0971194682899,1.07996808841851e-09,4.7191429087158e-07,CD96_ENSG00000153283,CD96
265.401992891236,-3.56824421687836,0.584938651849081,-6.10020248379654,1.05934184645768e-09,4.7191429087158e-07,FAM49A_ENSG00000197872,FAM49A
220.258173126922,-4.14217018178494,0.681059818299374,-6.08194767990874,1.18731316094291e-09,5.03997475203679e-07,CD86_ENSG00000114013,CD86
19.6356141024943,5.75360345905846,0.957466062061226,6.00919832779467,1.86442936373035e-09,7.69439640470607e-07,RBM43_ENSG00000184898,RBM43
23.4446858027716,6.42487242886246,1.07304216538342,5.98753025382437,2.13051322707635e-09,8.55487432829008e-07,ZNF432_ENSG00000256087,ZNF432
17.3239063284294,5.32226291717828,0.891564371651351,5.96957784138504,2.37868254380505e-09,9.21409383657147e-07,ZNF852_ENSG00000178917,ZNF852
59.3111453916182,6.8850843156506,1.1538886009449,5.96685356802423,2.41872288905087e-09,9.21409383657147e-07,CADM1_ENSG00000182985,CADM1
214.955467316893,-5.65096137117315,0.949125749829277,-5.95385950933226,2.6189164219176e-09,9.72731032010746e-07,ADGRA3_ENSG00000152990,ADGRA3
122.606191040257,7.06976322453274,1.20387156542281,5.8725228069074,4.2921263557747e-09,1.5553200309206e-06,SERPINF1_ENSG00000132386,SERPINF1
44.4902082564456,4.71322994722347,0.804002193497125,5.86221030905723,4.56746009940552e-09,1.61568463563971e-06,ACTR6_ENSG00000075089,ACTR6
18.6958268765593,21.7501806618463,3.72035680341344,5.84626201494717,5.027419588257e-09,1.7370319261101e-06,DLG2_ENSG00000150672,DLG2
75.0754090951788,4.87946836863356,0.837661605736003,5.82510686322582,5.70760662322012e-09,1.92722526366321e-06,EZH2_ENSG00000106462,EZH2
71.3129287659712,-4.17460301447005,0.717132270423947,-5.82124551723512,5.84106908896784e-09,1.92846141010656e-06,THRA_ENSG00000126351,THRA
4.50843373312164,14.7738182705832,2.54352985347772,5.80839192839951,6.30757235371748e-09,2.03290451518498e-06,SFRP4_ENSG00000106483,SFRP4
10.9776114925964,15.9651786945258,2.75017796967562,5.80514383816725,6.43107708243211e-09,2.03290451518498e-06,AC090527.3_ENSG00000260170,AC090527.3
93.7820645462757,3.32891737582856,0.580199533509584,5.73753886993356,9.60622375495102e-09,2.9733263818189e-06,OFD1_ENSG00000046651,OFD1
248.608881749651,-4.58225383738497,0.800823860878509,-5.72192470933397,1.05323984225133e-08,3.19346619108735e-06,EGR2_ENSG00000122877,EGR2
