baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
3.1151511777229,20.7018687576266,2.67384477339134,7.74235997677966,9.75882218582213e-15,3.21574405853678e-12,NPHP3-ACAD11_ENSG00000274810,NPHP3-ACAD11
13.1759991787606,22.8454672886231,3.02133707557497,7.56137654196546,3.98825852635402e-14,1.26576157592868e-11,CHRFAM7A_ENSG00000166664,CHRFAM7A
37.0582943797952,22.4718476013007,2.97218066985612,7.56072732361475,4.00821715559945e-14,1.26576157592868e-11,H2AC7_ENSG00000196866,H2AC7
1.96024148390382,19.9201436272754,2.6640242913226,7.47746320938601,7.57709700491774e-14,2.34395176327639e-11,SENP3-EIF4A1_ENSG00000277957,SENP3-EIF4A1
2.72202043778667,20.6897576903057,2.79462737771936,7.40340478135235,1.32736349636404e-13,4.02403517557722e-11,HPX_ENSG00000110169,HPX
6.23860881666241,20.3416199618318,2.7520176127807,7.39152971527612,1.45149115754855e-13,4.31405940512175e-11,CDC45_ENSG00000093009,CDC45
4.34467862270672,21.0801251214836,2.85734031787172,7.37753392189034,1.6124829597466e-13,4.70038782766135e-11,DCST1_ENSG00000163357,DCST1
3.10516304081657,20.3332844361963,2.7675803020079,7.34695373480016,2.02775014708833e-13,5.79936542067262e-11,RAB7B_ENSG00000276600,RAB7B
4.7875447093779,21.2915509441738,2.91775046807307,7.29724874596116,2.93711501135126e-13,8.24459061890044e-11,PXDN_ENSG00000130508,PXDN
18.2492964711296,21.131488096977,2.91904781053469,7.23917163011669,4.51433458664768e-13,1.2441506120801e-10,UTS2_ENSG00000049247,UTS2
426.018148816408,-4.18306780174308,0.586188716338399,-7.13604285642417,9.60560726375613e-13,2.60003205185742e-10,FAM53C_ENSG00000120709,FAM53C
4.06228532307977,20.6936974963564,2.90884887269056,7.11405040345586,1.12685967726125e-12,2.99665596279404e-10,CYP11A1_ENSG00000140459,CYP11A1
3.14707543118342,20.4140726159951,2.87635851283145,7.09719338703009,1.27315851451018e-12,3.32733392464574e-10,EMID1_ENSG00000186998,EMID1
9.70512697099836,18.3571552498933,2.59641553963128,7.07019156590792,1.54719959632204e-12,3.97499177644906e-10,OOSP1_ENSG00000284873,OOSP1
6.04404917072074,21.8805661686084,3.18829986819497,6.86276921028633,6.75382949383768e-12,1.70624245779319e-09,TBC1D26_ENSG00000214946,TBC1D26
2.75295158131766,19.71190770114,2.87854613963052,6.8478692871222,7.49580056139523e-12,1.86264499851851e-09,FTCDNL1_ENSG00000226124,FTCDNL1
3.83576727094121,20.2943115474536,2.980411311572,6.80923182268743,9.8121257046005e-12,2.39890647468281e-09,PFKFB1_ENSG00000158571,PFKFB1
3.02166742378258,19.6360598819164,2.91438299833646,6.73763877058187,1.60981170716775e-11,3.87325807257918e-09,GAS2_ENSG00000148935,GAS2
3.48384810066125,19.7538798518599,2.93780003398069,6.72403826787814,1.76755977865371e-11,4.18635486325514e-09,SLC18A1_ENSG00000036565,SLC18A1
3.18470267971346,19.5609403589557,2.99090238979041,6.54014668807914,6.14585230308742e-11,1.43321275707999e-08,SLC25A27_ENSG00000153291,SLC25A27
52.1521319111963,-4.09289665976199,0.636339257723905,-6.43194115415996,1.25984518525354e-10,2.8934444421323e-08,THAP3_ENSG00000041988,THAP3
2.14105606750757,17.975016610232,2.80684486048662,6.40399363116767,1.51364428206509e-10,3.42445075037949e-08,CUZD1_ENSG00000138161,CUZD1
42.2477433252182,-3.95527877838011,0.638320940413029,-6.19637948242905,5.7776730955212e-10,1.28791130561633e-07,BLOC1S4_ENSG00000186222,BLOC1S4
4.87675654692654,9.14318561674268,1.53487223890882,5.95696852478277,2.56959707634608e-09,5.64492064974695e-07,SFRP4_ENSG00000106483,SFRP4
3.51418614335284,4.71344051793272,0.803574627932829,5.86559151333324,4.47534347967312e-09,9.69103663784073e-07,GRHL2_ENSG00000083307,GRHL2
10.8410344798913,4.83577906131863,0.825298029395858,5.85943367011135,4.64448349268359e-09,9.91564518057716e-07,TINCR_ENSG00000223573,TINCR
8.78852212231169,-4.56678750568752,0.785384879946798,-5.81471278896644,6.07380790030274e-09,1.27870527989985e-06,ADPRHL1_ENSG00000153531,ADPRHL1
